[D1][Apator Torun]

[1]	Adrian Miedzinski	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[2]	Karol Zabik		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[3]	Ryan Sullivan		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
[4]	Miros³aw Kowalik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[6]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[7]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[8]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[9]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[10]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[11]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[12]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[13]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[14]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[15]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[16]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[17]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[18]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[19]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[20]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

[D2][Polonia Bydgoszcz]

[1]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[2]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[3]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[4]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[5]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[6]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[7]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[8]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[9]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[10]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[11]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[12]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[13]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[14]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[15]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[16]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[17]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[18]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[19]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[20]	Anonymous Anonymous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

[D3][RKM Rybnik]

